"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019825","GO:0019825","oxygen binding","5/97","23/12513",0.217391304347826,28.0434782608696,11.4737037046178,7.6010097469396e-07,0.000127696963748585,0.000116815518216124,"LOC103091815/LOC116951551/LOC116951444/LOC116951657/LOC116951566",5
"GO:0017069","GO:0017069","snRNA binding","3/97","17/12513",0.176470588235294,22.7647058823529,7.9368859214809,0.000283795001918278,0.0151671192531256,0.0138746830260422,"SNRNP70/LOC116944959/LOC116943922",3
"GO:0020037","GO:0020037","heme binding","6/97","119/12513",0.0504201680672269,6.50420168067227,5.33237221023682,0.000318434346399699,0.0151671192531256,0.0138746830260422,"LOC103091815/LOC116951551/LOC116951444/LOC116951657/LOC116945069/LOC116951566",6
"GO:0046906","GO:0046906","tetrapyrrole binding","6/97","124/12513",0.0483870967741935,6.24193548387097,5.1849284852428,0.00039725849025081,0.0151671192531256,0.0138746830260422,"LOC103091815/LOC116951551/LOC116951444/LOC116951657/LOC116945069/LOC116951566",6
"GO:0005506","GO:0005506","iron ion binding","6/97","127/12513",0.047244094488189,6.09448818897638,5.10029463665833,0.000451402358723976,0.0151671192531256,0.0138746830260422,"LOC103091815/LOC116951551/LOC116951444/LOC116951657/LOC116945069/LOC116951566",6
