gene_id,sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC116937473,S,C,16.5574228,45.3209857,30.9392043,-1.4476396,0.41386752,-3.4978332,0.00046905,0.01915874
LOC116948656,S,C,15.1804606,37.9060332,26.5432469,-1.3152804,0.37832101,-3.4766252,0.00050777,0.02021926
LOC116953021,S,C,15.2025468,40.5645615,27.8835541,-1.408849,0.40583052,-3.4715207,0.00051752,0.02021926
LOC116937311,S,C,23.5887447,62.8074608,43.1981027,-1.4080415,0.40721507,-3.4577342,0.00054474,0.02074161
LOC116952362,S,C,32.304707,65.2158818,48.7602944,-1.0118347,0.29503262,-3.4295688,0.00060454,0.02217309
LOC116948759,S,C,61.2493514,27.2317789,44.2405652,1.16998548,0.35591785,3.28723458,0.00101177,0.03178924
LOC116952115,S,C,34.379979,69.2160803,51.7980296,-1.0096646,0.30863457,-3.2713918,0.0010702,0.03293416
LOC116945638,S,C,32.2862227,66.3771485,49.3316856,-1.0314355,0.31694908,-3.2542623,0.00113687,0.0345133
LOC116952968,S,C,22.6999772,48.2342245,35.4671008,-1.0833757,0.33470861,-3.2367727,0.0012089,0.03621049
LOC116950778,S,C,38.7643472,16.8874989,27.8259231,1.20300316,0.37202224,3.23368611,0.00122204,0.03624166
LOC116952765,S,C,40.0971371,17.8881623,28.9926497,1.16984169,0.36537671,3.20174128,0.001366,0.03921675
LOC116951084,S,C,16.6375328,38.5503094,27.5939211,-1.2270442,0.38430928,-3.1928561,0.00140873,0.04004342
LOC116941532,S,C,16.6744182,40.6502515,28.6623349,-1.3014564,0.40845619,-3.1862815,0.00144114,0.04004342
ARGLU1,S,C,35.7214539,74.3624069,55.0419304,-1.0514164,0.3321562,-3.1654276,0.00154855,0.04204015
LOC116940231,S,C,19.8856831,42.9567034,31.4211932,-1.1156599,0.36242887,-3.0782865,0.00208195,0.04949305
