gene_id,sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC116952115,S,C,34.37997898,69.21608029,51.79802963,-1.009664589,0.308634568,-3.271391775,0.001070195,0.032934164
EIF3E,S,C,5365.892256,3919.354415,4642.623336,0.453006587,0.138592782,3.268616008,0.001080749,0.033145417
ICE2,S,C,1221.003591,947.4017972,1084.202694,0.365858365,0.11220276,3.260689539,0.001111417,0.033970032
QPCT,S,C,423.4452174,270.6528811,347.0490492,0.643464508,0.19740935,3.259544231,0.001115914,0.033991869
LOC116945638,S,C,32.28622266,66.37714854,49.3316856,-1.031435458,0.316949081,-3.254262339,0.001136872,0.034513295
ATXN10,S,C,388.4842779,272.848691,330.6664845,0.507633943,0.156433289,3.245050631,0.001174297,0.035529416
PNKP,S,C,103.1451619,159.7940036,131.4695827,-0.628134786,0.193709178,-3.24266921,0.001184156,0.035707472
BORCS7,S,C,970.0957069,643.9633513,807.0295291,0.589877726,0.18216221,3.238200311,0.001202863,0.036150264
LOC116952968,S,C,22.69997719,48.2342245,35.46710084,-1.083375689,0.334708612,-3.23677267,0.001208897,0.036210487
LOC116954784,S,C,306.5969847,417.6823546,362.1396697,-0.445759463,0.137825622,-3.234227829,0.001219721,0.036241661
LOC116943613,S,C,54.66785782,95.40975769,75.03880775,-0.798339535,0.246881431,-3.233696156,0.001221994,0.036241661
LOC116950778,S,C,38.76434721,16.88749894,27.82592307,1.203003158,0.372022243,3.233686105,0.001222037,0.036241661
LOC116938439,S,C,71.7711909,119.966569,95.86887993,-0.735374225,0.227491291,-3.232537928,0.001226958,0.036267924
CHMP1B,S,C,552.2397387,384.1467823,468.1932605,0.522344503,0.161801092,3.2283126,0.001245228,0.03668728
LOC116946001,S,C,443.1932624,586.8324981,515.0128803,-0.405533218,0.125654201,-3.227374928,0.001249316,0.036687443
COQ10B,S,C,86.04057269,137.0427352,111.541654,-0.666801255,0.206930722,-3.222340548,0.001271479,0.03721665
YBX1,S,C,11810.88176,9210.17383,10510.52779,0.358741575,0.111403727,3.220193648,0.00128104,0.037374767
LOC116947372,S,C,4085.40963,5602.076756,4843.743193,-0.455418006,0.141516134,-3.218134875,0.001290271,0.037522259
SNAPC3,S,C,699.4631205,494.9891833,597.2261519,0.497336222,0.154645136,3.215983604,0.001299983,0.037682721
GTF2F2,S,C,488.2414872,327.8331412,408.0373142,0.572571225,0.178439866,3.208762912,0.001333074,0.038517685
GLO1,S,C,815.8525506,609.3313643,712.5919575,0.420445964,0.13127103,3.202884633,0.001360585,0.039186585
LOC116952765,S,C,40.09713709,17.88816232,28.9926497,1.169841686,0.365376707,3.20174128,0.001365996,0.039216748
LOC116953206,S,C,455.4704219,310.2098672,382.8401445,0.552448457,0.172818657,3.196694543,0.001390121,0.039782238
LOC116945131,S,C,611.2891897,823.5182075,717.4036986,-0.42891879,0.134216277,-3.195728555,0.001394783,0.039788942
LOC116958739,S,C,5.323647366,23.87660909,14.60012823,-2.148965036,0.672674866,-3.194656357,0.001399974,1
LOC116951084,S,C,16.63753283,38.55030944,27.59392113,-1.227044216,0.384309278,-3.19285608,0.001408731,0.040043418
LOC116951562,S,C,662.5215307,930.4397873,796.480659,-0.488748409,0.153155568,-3.191189292,0.001416884,0.040043418
EIF3I,S,C,7439.549671,5629.14343,6534.346551,0.402223006,0.126108462,3.189500518,0.001425189,0.040043418
LOC116952025,S,C,534.5186997,393.5804509,464.0495753,0.442931114,0.138898906,3.188874035,0.001428281,0.040043418
ACSL1,S,C,539.1256609,716.7411559,627.9334084,-0.409899166,0.128566989,-3.188214714,0.001431542,0.040043418
LOC116941532,S,C,16.6744182,40.65025154,28.66233487,-1.301456413,0.408456191,-3.18628152,0.001441143,0.040043418
LOC116957812,S,C,487.1529584,359.4245088,423.2887336,0.437756466,0.137391506,3.18619745,0.001441562,0.040043418
SEC61A1,S,C,1846.32782,1385.989055,1616.158437,0.413361757,0.129749433,3.185846344,0.001443312,0.040043418
DNAH2,S,C,52.52704989,100.9091247,76.71808728,-0.933839582,0.293130509,-3.185746799,0.001443809,0.040043418
LOC116950460,S,C,16.372996,3.936756622,10.15487631,2.073003376,0.65117945,3.183459452,0.001455265,1
LOC116945353,S,C,121.4906775,76.47788953,98.98428353,0.667550704,0.209779137,3.182159637,0.001461812,0.040417983
LOC116946573,S,C,352.7322779,243.6290658,298.1806719,0.531223302,0.167074488,3.179559664,0.00147499,0.040540784
CMC1,S,C,316.0565207,216.8003331,266.4284269,0.54118363,0.170210115,3.17950334,0.001475277,0.040540784
RPL23A,S,C,6494.476193,4575.428744,5534.952469,0.505203692,0.159208187,3.173226834,0.001507547,0.041289287
LOC116951685,S,C,113.6851773,181.7443012,147.7147393,-0.672883716,0.212154633,-3.171666382,0.00151567,0.041289287
IDH2,S,C,1801.392969,1322.178826,1561.785898,0.445599036,0.140499004,3.171545863,0.001516299,0.041289287
ARGLU1,S,C,35.72145387,74.36240686,55.04193036,-1.051416401,0.332156202,-3.165427573,0.001548552,0.042040148
LOC116949438,S,C,625.2812748,437.6514762,531.4663755,0.51376523,0.162480351,3.16201452,0.001566818,0.04226151
MRPL40,S,C,630.39923,415.9682663,523.1837481,0.597983732,0.189115114,3.162009209,0.001566846,0.04226151
MDH1,S,C,1974.062998,1495.674333,1734.868665,0.400022868,0.126538562,3.161272426,0.001570815,0.04226151
LOC116953491,S,C,541.4256369,362.4015471,451.913592,0.577253049,0.182745221,3.158786011,0.001584278,0.042496476
DAZAP1,S,C,5255.025614,3698.247971,4476.636792,0.506632379,0.160825474,3.150199814,0.001631588,0.043635276
LOC116944397,S,C,35.34148616,67.11533441,51.22841028,-0.921658681,0.292715867,-3.148646129,0.001640287,0.043737739
SLC39A13,S,C,109.4860777,66.99386461,88.23997116,0.704497234,0.223917922,3.146229783,0.0016539,0.043950064
LOC116948508,S,C,75.57441125,40.68152311,58.12796718,0.88668499,0.281889992,3.145500069,0.001658032,0.043950064
ALG6,S,C,765.4438914,561.2887083,663.3662998,0.446776397,0.142186813,3.142178855,0.001676956,0.044268051
CCNB2,S,C,507.4884697,377.5647804,442.526625,0.425551907,0.135454103,3.141668633,0.00167988,0.044268051
ANAPC11,S,C,133.0118573,198.9185789,165.9652181,-0.57789203,0.184207756,-3.137175338,0.001705841,0.044820718
RPL4,S,C,17125.85223,13053.4564,15089.65431,0.391692356,0.12496419,3.134436801,0.001721843,0.045037218
LOC116944693,S,C,566.2733611,769.098605,667.685983,-0.440149885,0.140462215,-3.133582107,0.001726866,0.045037218
RPL35,S,C,6466.117351,4837.895602,5652.006476,0.418455531,0.133555325,3.133199887,0.001729116,0.045037218
RPL27A,S,C,14282.59852,10417.69477,12350.14664,0.455169088,0.145331734,3.131931866,0.001736602,0.045101454
SHOC1,S,C,2232.453481,3078.966466,2655.709973,-0.463661513,0.148108109,-3.130561296,0.001744726,0.045181863
RNF4,S,C,294.8733459,188.8941609,241.8837534,0.640041841,0.204685383,3.126954316,0.001766274,0.045496822
DROSHA,S,C,2443.583991,1908.004393,2175.794192,0.356568449,0.114052398,3.126356442,0.001769869,0.045496822
LOC116955921,S,C,53.6769774,92.57699243,73.12698492,-0.784557351,0.250978864,-3.125989728,0.001772077,0.045496822
LOC116951218,S,C,78.73156259,45.35801491,62.04478875,0.791412794,0.253414388,3.122998666,0.001790186,0.045642033
LOC116947507,S,C,2883.927893,1996.823372,2440.375632,0.530000642,0.169714954,3.122887117,0.001790864,0.045642033
LOC116954026,S,C,1409.38522,1103.645497,1256.515358,0.352358009,0.112843355,3.122541046,0.001792971,0.045642033
MRPL30,S,C,763.1847129,590.4147233,676.7997181,0.369942894,0.118532929,3.121013686,0.001802297,0.045700098
NUTF2,S,C,257.8898272,166.0511963,211.9705117,0.632350022,0.202643607,3.120503193,0.001805423,0.045700098
LOC116955231,S,C,93.23211449,145.6711153,119.4516149,-0.643779838,0.206397553,-3.119125341,0.001813888,0.045785382
LOC116945899,S,C,188.7425767,292.2553553,240.498966,-0.627060718,0.201177679,-3.116949765,0.001827327,0.045995409
MTFMT,S,C,175.8618879,250.2983141,213.080101,-0.506314836,0.162568886,-3.114463346,0.001842799,0.046255272
LOC116944915,S,C,873.5464294,1161.960094,1017.753262,-0.411430022,0.132238077,-3.111282552,0.001862766,0.046626228
SHMT1,S,C,2934.863401,2300.509325,2617.686363,0.351159325,0.112907093,3.110161768,0.001869849,0.046673511
DNAJC7,S,C,2243.700238,1717.513538,1980.606888,0.38517719,0.123935929,3.107873497,0.001884387,0.046906101
SRA1,S,C,625.4174921,424.8020972,525.1097946,0.556503763,0.179153691,3.106292472,0.001894492,0.047027371
MBTD1,S,C,254.7111686,357.3066736,306.0089211,-0.487000972,0.156972264,-3.102465108,0.001919162,0.047508504
LOC116938403,S,C,59.2551372,98.99929675,79.12721698,-0.737192066,0.237803428,-3.100006047,0.001935167,0.047719138
LOC116942878,S,C,56.38281931,97.6463595,77.01458941,-0.788982534,0.2545995,-3.098916281,0.001942299,0.047719138
