gene_id,sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NOP53,S,C,4189.537763,3453.563569,3821.550666,0.278578832,0.100846054,2.762416787,0.005737518,0.092726139
PCGF3,S,C,49.71909504,83.98399023,66.85154264,-0.751468923,0.272089927,-2.761840296,0.005747659,0.092726139
GPATCH8,S,C,862.8276414,646.4532033,754.6404223,0.415650817,0.150545723,2.760960656,0.005763162,0.092809628
TOP3B,S,C,241.7597775,324.9064663,283.3331219,-0.42532028,0.154120438,-2.759661759,0.005786123,0.092906407
LOC116955190,S,C,73.17540575,110.9240732,92.04973945,-0.602321316,0.218275746,-2.759451418,0.00578985,0.092906407
INO80,S,C,1298.120517,1045.468183,1171.79435,0.311806335,0.113033428,2.758532068,0.005806161,0.09293159
LOC116950229,S,C,283.2894489,202.7764621,243.0329555,0.480165876,0.174109711,2.757835114,0.005818554,0.09293159
LOC116949305,S,C,63.90264428,98.15623359,81.02943894,-0.621680283,0.225456376,-2.757430484,0.00582576,0.09293159
MED6,S,C,1099.246377,843.6549972,971.450687,0.380974169,0.138190547,2.756875746,0.005835652,0.09293159
LOC116944151,S,C,539.0352201,693.290791,616.1630055,-0.363133055,0.131739056,-2.756457082,0.005843128,0.09293159
POLDIP2,S,C,182.2645127,128.1393472,155.2019299,0.506617748,0.183944684,2.754185313,0.005883844,0.093413824
LOC103091700,S,C,349.2008815,252.2636124,300.7322469,0.466586496,0.169635514,2.750523664,0.005950009,0.09429768
LOC116951354,S,C,9.271588582,1.620784484,5.446186533,2.510409106,0.912874859,2.750003555,0.005959462,1
LOC116951165,S,C,127.5595444,197.7760463,162.6677954,-0.634131467,0.230614095,-2.749751562,0.005964046,0.094353734
NFATC2IP,S,C,532.5735801,372.6629357,452.6182579,0.513191343,0.186699193,2.748760371,0.00598211,0.094473185
SNRPC,S,C,1440.528554,1084.801181,1262.664868,0.40857684,0.148695832,2.747735658,0.006000837,0.094602666
MORF4L1,S,C,411.0905188,315.7092272,363.399873,0.380123671,0.138381223,2.746931005,0.006015579,0.094668986
LOC116947354,S,C,593.2660928,440.1363226,516.7012077,0.430335592,0.156771689,2.744982815,0.006051407,0.094934334
LMNB1,S,C,1045.728099,1351.79448,1198.761289,-0.369761034,0.134710071,-2.744865552,0.006053569,0.094934334
LOC116939171,S,C,2318.164433,1867.47065,2092.817541,0.311703248,0.113674146,2.742076881,0.006105205,0.095577303
LOC116946144,S,C,528.4723957,407.6593327,468.0658642,0.373882291,0.136383094,2.741412305,0.006117569,0.095604302
BCAS2,S,C,418.794048,311.355951,365.0749995,0.425856841,0.155376836,2.740800056,0.006128979,0.095616331
LOC116942559,S,C,281.0344662,203.8022305,242.4183484,0.461380719,0.168380854,2.740102025,0.006142012,0.09565358
LOC116938643,S,C,510.8277816,701.9625642,606.3951729,-0.456658804,0.1667576,-2.738458716,0.006172791,0.095966609
GANAB,S,C,425.5667201,545.5246944,485.5457073,-0.357013901,0.130439896,-2.736999277,0.006200243,0.096226914
RPLP1,S,C,8100.484525,6094.585101,7097.534813,0.4104797,0.150112275,2.734484564,0.006247802,0.096789673
ARL6,S,C,245.628511,161.1614801,203.3949956,0.60466743,0.221213668,2.733408989,0.006268244,0.096789673
PBRM1,S,C,555.5299862,709.0999658,632.314976,-0.352089316,0.128836266,-2.732843211,0.006279021,0.096789673
LOC116948128,S,C,54.93638813,28.13246804,41.53442808,0.956106549,0.349861619,2.732813485,0.006279588,0.096789673
ZNF236,S,C,847.5055493,673.5506313,760.5280903,0.331543591,0.121437987,2.73014729,0.006330603,0.097408909
LOC116957223,S,C,73.68685963,110.239407,91.96313331,-0.579866178,0.212551062,-2.728126465,0.006369518,0.097763893
CDK7,S,C,127.8300289,180.5126735,154.1713512,-0.499689534,0.183182718,-2.72782029,0.006375433,0.097763893
LOC116940694,S,C,709.9497432,891.0318241,800.4907837,-0.327402169,0.120065207,-2.726869652,0.006393829,0.097798769
LOC116950503,S,C,97.19462977,140.904776,119.0497029,-0.537287267,0.197055497,-2.726578425,0.006399474,0.097798769
ESRP1,S,C,23.65913861,9.451803367,16.55547099,1.322889693,0.485292542,2.72596337,0.006411411,1
MAU2,S,C,253.4977198,338.9381993,296.2179595,-0.417520507,0.15321604,-2.725044371,0.006429285,0.097978351
LOC116941955,S,C,1016.757685,810.8896791,913.8236819,0.326009477,0.119659838,2.724468641,0.006440505,0.097978351
LOC116944414,S,C,88.64092487,130.0248156,109.3328702,-0.549705026,0.201778984,-2.724292767,0.006443936,0.097978351
PDCD7,S,C,3.018378133,12.44311883,7.73074848,-2.027686664,0.745169647,-2.721107432,0.006506361,1
KMT5A,S,C,67.8220768,106.0059936,86.91403521,-0.638933475,0.234875889,-2.720302529,0.006522221,0.099001152
LOC103091791,S,C,102.7459286,64.46487258,83.60540058,0.666640521,0.245246453,2.718247351,0.006562876,0.099376928
CTNS,S,C,333.1662744,251.0142518,292.0902631,0.408269637,0.150213232,2.717933909,0.006569096,0.099376928
LOC116951528,S,C,261.6927373,195.69776,228.6952487,0.419639976,0.154450958,2.716978791,0.006588083,0.099496661
LOC116952502,S,C,17.75872654,35.36601586,26.5623712,-0.997477782,0.367293689,-2.715749855,0.006612586,0.099699156
ERCC1,S,C,162.8882688,223.9739973,193.431133,-0.457854789,0.168641098,-2.71496565,0.006628265,0.099760815
KIAA1109,S,C,442.1596304,577.0884512,509.6240408,-0.382941887,0.141088128,-2.714203473,0.006643535,0.099760815
ENPP2,S,C,277.1786968,202.4167211,239.7977089,0.450914468,0.166151083,2.713882201,0.006649981,0.099760815
LOC116952594,S,C,56.86741222,90.11875619,73.4930842,-0.66423048,0.244833534,-2.712988169,0.006667949,0.099863645
INPP5F,S,C,733.1671011,566.7711829,649.969142,0.370145106,0.136624373,2.709217226,0.006744217,0.100725519
LOC116945139,S,C,57.97646087,91.38616363,74.68131225,-0.654424599,0.241658222,-2.708058481,0.00676781,0.100725519
LOC116945233,S,C,552.1777669,724.4583113,638.3180391,-0.391100852,0.144421568,-2.708050168,0.006767979,0.100725519
LOC116951380,S,C,1385.759281,1113.136734,1249.448007,0.315614461,0.116551723,2.707934753,0.006770333,0.100725519
LOC116937806,S,C,62.47642648,35.19268463,48.83455555,0.823490935,0.304400571,2.705287088,0.006824538,0.101221947
LOC116957725,S,C,778.8104311,579.6242156,679.2173233,0.424868477,0.15705594,2.705204767,0.00682623,0.101221947
PDCL3,S,C,7066.800352,5473.684231,6270.242291,0.368398429,0.136297125,2.702906819,0.006873601,0.101546548
unassigned_gene_3,S,C,4646.61183,1644.979363,3145.795597,1.498078746,0.55438485,2.702236085,0.006887484,0.101546548
LOC116941318,S,C,525.8660108,399.6668624,462.7664366,0.395856307,0.146505152,2.701995803,0.006892463,0.101546548
PSMD3,S,C,4359.596462,3475.306646,3917.451554,0.326860358,0.120971828,2.701954364,0.006893322,0.101546548
SAC3D1,S,C,275.5552904,191.3551074,233.4551989,0.523949474,0.194195768,2.698047847,0.006974742,0.102577786
TBL2,S,C,958.8689896,749.0481684,853.958579,0.355432095,0.131875867,2.69520196,0.007034598,0.103083962
LOC116950782,S,C,36.95087467,62.94275466,49.94681466,-0.761306329,0.282495112,-2.69493629,0.007040209,0.103083962
ARID2,S,C,926.3320457,1155.841175,1041.08661,-0.319778944,0.118666195,-2.694777083,0.007043574,0.103083962
LOC116942087,S,C,637.4600669,462.7677659,550.1139164,0.461049497,0.171150966,2.693817674,0.007063879,0.103213042
LOC116939179,S,C,2393.783465,1826.669448,2110.226456,0.38961212,0.144661243,2.693272308,0.007075445,0.103214209
LOC116955370,S,C,10.40515245,25.1181519,17.76165218,-1.260186145,0.468153452,-2.691822818,0.007106269,1
LOC116938498,S,C,355.9227109,261.4177513,308.6702311,0.447092596,0.166146705,2.690950718,0.007124872,0.103766773
LOC116945000,S,C,965.0060484,718.8405494,841.9232989,0.423734794,0.157634665,2.68808129,0.00718639,0.104354052
LOC116947510,S,C,12061.98635,14963.89465,13512.9405,-0.31098894,0.115706363,-2.687742774,0.007193679,0.104354052
LOC116937441,S,C,71.55451162,113.3982449,92.47637824,-0.658685341,0.245096977,-2.687447836,0.007200035,0.104354052
LOC116951407,S,C,85.7355486,128.5689452,107.1522469,-0.578438526,0.215639159,-2.682437308,0.007308785,0.10559164
PRUNE1,S,C,501.1040814,384.1819698,442.6430256,0.38209688,0.142444259,2.682430896,0.007308925,0.10559164
KIDINS220,S,C,923.3865341,1219.589774,1071.488154,-0.400611743,0.149397199,-2.681521116,0.007328829,0.10570924
LOC116955906,S,C,206.8128103,140.8412898,173.8270501,0.550184688,0.205222217,2.680921672,0.00734197,0.105729073
LOC116939517,S,C,165.3649553,235.9718755,200.6684154,-0.512686414,0.19129057,-2.680144735,0.007359033,0.105794545
CEP112,S,C,187.0027103,263.2022955,225.1025029,-0.49351149,0.184170585,-2.679643395,0.007370063,0.105794545
LOC116951580,S,C,404.3491364,538.5142489,471.4316926,-0.413033519,0.154179345,-2.678916029,0.007386091,0.10585553
RRP36,S,C,164.9447254,115.6713207,140.3080231,0.509475771,0.190286217,2.677418145,0.007419198,0.106160688
SNRPE,S,C,1323.254423,970.9710748,1147.112749,0.445851541,0.166595915,2.676245346,0.007445212,0.106363554
FBLN2,S,C,252.0187051,179.3874859,215.7030955,0.487192574,0.18218838,2.674114416,0.007492688,0.106871901
LOC116950726,S,C,730.7977753,905.8861254,818.3419503,-0.30995294,0.115945478,-2.673264592,0.007511698,0.106973241
LOC116948361,S,C,175.5875537,118.7487281,147.1681409,0.560184604,0.209990257,2.6676695,0.007637935,0.108598869
LOC116938201,S,C,34.51294638,17.14767461,25.83031049,1.004428515,0.376832185,2.665453095,0.007688466,0.109144632
LOC116943529,S,C,86.39948523,129.4477369,107.9236111,-0.581004495,0.218044219,-2.664617739,0.007707588,0.109243511
LOC116940101,S,C,6.162211536,17.64352021,11.90286587,-1.520712512,0.570746489,-2.664427272,0.007711954,1
GLRX3,S,C,2052.025902,1678.619225,1865.322564,0.289641935,0.108807915,2.661956483,0.007768792,0.109785998
LOC116942917,S,C,313.3946242,233.6528048,273.5237145,0.423527437,0.159107716,2.661891257,0.007770298,0.109785998
LOC116937901,S,C,288.577467,205.2940269,246.9357469,0.489546001,0.18396251,2.661118289,0.007788159,0.109865617
SMPD4,S,C,1886.335337,1442.981985,1664.658661,0.385915804,0.145081177,2.659999117,0.007814086,0.110058579
SYVN1,S,C,441.5578547,336.4784137,389.0181342,0.390392747,0.146837558,2.658670938,0.007844954,0.110320437
PAM16,S,C,150.7589969,100.460581,125.609789,0.580726902,0.218564101,2.65700954,0.007883721,0.110692373
LOC116955602,S,C,102.1394596,56.02966805,79.0845638,0.8611915,0.324321627,2.65536254,0.007922321,0.111060812
LOC116950656,S,C,10.3670942,2.254385981,6.31074009,2.18664068,0.823734954,2.654544,0.007941568,1
GFER,S,C,77.62759706,47.20079147,62.41419426,0.711562042,0.268057134,2.654516334,0.007942219,0.11116633
CNBP,S,C,70.21834495,105.4114815,87.8149132,-0.582669597,0.219623994,-2.653032517,0.007977219,0.11148256
LOC116955145,S,C,37.2471305,63.74668425,50.49690737,-0.768867694,0.289998019,-2.651286025,0.00801859,0.111886728
LOC116947032,S,C,331.4105778,241.0572288,286.2339033,0.457089763,0.172638699,2.647666863,0.008104935,0.112882875
LOC116958420,S,C,87.96830323,135.4946135,111.7314584,-0.618183847,0.233519886,-2.647242843,0.008115105,0.112882875
LOC116947201,S,C,12.30719489,3.296791194,7.801993044,1.911604164,0.722437601,2.64604744,0.008143839,1
DDX59,S,C,79.30285258,120.2237415,99.76329704,-0.596459843,0.225486581,-2.645212152,0.008163971,0.11327622
LOC116957087,S,C,10432.21891,8463.733311,9447.97611,0.301594581,0.114023529,2.645020593,0.008168595,0.11327622
LOC116951089,S,C,14.83737823,31.57788728,23.20763275,-1.082668503,0.409621995,-2.64309172,0.008215278,1
NMU,S,C,65.46942486,35.77406704,50.62174595,0.866971184,0.328022256,2.643025491,0.008216885,0.113770304
ATAD2B,S,C,1829.678023,2300.529612,2065.103817,-0.330338037,0.125067998,-2.641267481,0.008259648,0.114004877
CNOT10,S,C,807.8584315,641.1221695,724.4903005,0.332669417,0.125990699,2.640428377,0.008280129,0.114004877
C48H3orf20,S,C,330.4902805,225.8557607,278.1730206,0.546700783,0.207081839,2.64002284,0.008290044,0.114004877
METAP1,S,C,468.3692262,590.9939576,529.6815919,-0.335097616,0.126935375,-2.639907244,0.008292872,0.114004877
ATP6V0C,S,C,1319.70488,1070.391457,1195.048168,0.301999429,0.11442281,2.639328894,0.008307035,0.114004877
LOC116943158,S,C,5124.564042,4143.31939,4633.941716,0.306479462,0.116125454,2.639210022,0.008309948,0.114004877
RPLP0,S,C,22274.05289,17707.44426,19990.74858,0.331003941,0.125444166,2.638655513,0.008323551,0.114017428
LOC116951930,S,C,104.6687179,149.4044236,127.0365707,-0.512289792,0.194188636,-2.638103868,0.008337104,0.114029251
LOC116941448,S,C,35.76319726,60.89933541,48.33126633,-0.761921422,0.288896745,-2.637348591,0.008355692,0.114065193
SHCBP1,S,C,56.53544391,91.23082101,73.88313246,-0.68715915,0.260587026,-2.63696609,0.008365119,0.114065193
LOC116939655,S,C,27.19625766,12.25274896,19.72450331,1.14543993,0.434521164,2.636096981,0.008386576,1
LOC116956532,S,C,83.86718122,53.80634919,68.83676521,0.63641814,0.241563115,2.634583269,0.008424064,0.114541989
LOC116942058,S,C,863.2600827,666.7233436,764.9917132,0.373045611,0.141598962,2.634522207,0.008425579,0.114541989
LOC116944884,S,C,84.17549886,122.8187766,103.4971378,-0.543854376,0.206585325,-2.632589585,0.008473667,0.115021713
LOC116940244,S,C,2091.44651,1636.559556,1864.003033,0.353481772,0.134346963,2.631110992,0.008510624,0.115349116
GCLC,S,C,145.0844221,101.2150972,123.1497597,0.520208892,0.198013676,2.627136183,0.008610687,0.116529562
C41H4orf47,S,C,285.6009155,207.4860812,246.5434983,0.457825331,0.174375784,2.625509809,0.008651932,0.116759195
LOC116939341,S,C,126.8607598,182.9209483,154.8908541,-0.523931165,0.199559183,-2.625442527,0.008653642,0.116759195
NDUFAB1,S,C,987.7000364,799.9766939,893.8383652,0.304627988,0.116138743,2.622966111,0.008716794,0.117434952
LOC116958337,S,C,84.05998473,123.8389337,103.9494592,-0.55610583,0.212083131,-2.622112501,0.008738658,0.117553264
TNRC6C,S,C,560.0393367,761.0113425,660.5253396,-0.442590845,0.16888497,-2.620664499,0.008775858,0.11787722
SUMO1,S,C,5591.355479,4057.688325,4824.521902,0.462387863,0.176541824,2.619140625,0.00881516,0.1182284
LOC116948975,S,C,305.9195051,394.2245739,350.0720395,-0.364457752,0.139306035,-2.616238063,0.008890455,0.119060547
TPI1,S,C,3335.066447,2748.30517,3041.685809,0.279094533,0.10675407,2.61436901,0.008939243,0.119535771
ABCG2,S,C,136.8699725,195.4443432,166.1571578,-0.510866267,0.195515064,-2.612925345,0.008977091,0.119863505
LOC116940887,S,C,77.8092033,115.3052088,96.55720606,-0.564723034,0.216188438,-2.61217963,0.008996697,0.119947061
PTPRD,S,C,16.95461873,34.22349025,25.58905449,-1.009877118,0.386730624,-2.611319234,0.009019366,0.12007114
LSM12,S,C,684.0120903,546.6975416,615.354816,0.322905884,0.123808262,2.608112565,0.009104301,0.121022557
ATP5F1C,S,C,5367.674213,4309.835283,4838.754748,0.316549433,0.121432295,2.606797759,0.009139332,0.121308774
EBP,S,C,157.5416707,213.3601746,185.4509226,-0.439289508,0.16855259,-2.60624597,0.00915407,0.121325179
LOC116941398,S,C,724.8290672,563.9493987,644.3892329,0.361129828,0.138616553,2.605243162,0.009180908,0.121466618
CSNK2B,S,C,1289.509031,958.5023395,1124.005685,0.42711674,0.16397057,2.604837804,0.009191776,0.121466618
RNF123,S,C,736.7020162,570.5102557,653.6061359,0.367579345,0.141267032,2.602017885,0.009267702,0.122257602
LOC116954778,S,C,225.3958581,297.3336433,261.3647507,-0.401077999,0.15420087,-2.601009964,0.009294975,0.122257602
NINJ1,S,C,144.954192,199.1858711,172.0700316,-0.458122376,0.176151004,-2.600736671,0.009302383,0.122257602
CYHR1,S,C,704.9967996,552.5931307,628.7949651,0.350288711,0.134695276,2.600601304,0.009306054,0.122257602
ALDH18A1,S,C,214.2501777,157.048784,185.6494809,0.449013184,0.172767751,2.598940953,0.009351186,0.122671175
LOC116944801,S,C,905.31012,734.2537437,819.7819319,0.301695635,0.116203049,2.596279852,0.009423927,0.123445207
SCAPER,S,C,669.3861892,837.1163311,753.2512601,-0.322078472,0.124311138,-2.59090598,0.009572364,0.125207078
FBXL12,S,C,881.7127508,682.0892285,781.9009896,0.369253329,0.142608842,2.589273736,0.009617861,0.125619324
LOC116951902,S,C,26.09832303,46.06237219,36.08034761,-0.818045662,0.316056735,-2.588287389,0.009645447,0.125796788
MRPL43,S,C,158.7244901,110.1242499,134.42437,0.525878874,0.203230561,2.587597408,0.009664787,0.125866336
GTF3C3,S,C,2289.715509,1883.810567,2086.763038,0.281297106,0.108755171,2.586517082,0.009695136,0.125970306
LTO1,S,C,315.7529778,231.9498815,273.8514297,0.443075482,0.171315321,2.58631557,0.009700807,0.125970306
LOC116953551,S,C,135.3356941,186.9329247,161.1343094,-0.466644982,0.18057454,-2.584223577,0.00975985,0.126538204
LOC116941041,S,C,1061.245921,847.8604355,954.5531782,0.324074497,0.125436575,2.583572596,0.009778289,0.126538204
LOC116941564,S,C,58.56779964,89.09414214,73.83097089,-0.60542981,0.234365402,-2.583272981,0.009786785,0.126538204
LOC116947200,S,C,1059.083643,844.3149164,951.6992799,0.326471827,0.126486618,2.581078007,0.009849232,0.126956789
ADAT2,S,C,198.4624063,265.4467663,231.9545863,-0.416962529,0.161589817,-2.580376271,0.009869272,0.126956789
LOC116951531,S,C,370.6946137,473.8189531,422.2567834,-0.354936496,0.137553603,-2.580350405,0.009870011,0.126956789
LOC116944212,S,C,114.0959995,163.2620216,138.6790105,-0.513939771,0.199189697,-2.580152378,0.009875673,0.126956789
LOC116947506,S,C,7416.753521,5822.413793,6619.583657,0.349080718,0.135346698,2.579159473,0.009904105,0.127066382
FANCB,S,C,418.8273542,529.6098461,474.2186002,-0.338705093,0.131338693,-2.578867544,0.009912479,0.127066382
LOC116954251,S,C,301.4894604,213.4620995,257.47578,0.49569089,0.192368177,2.576782178,0.009972477,0.12765339
SESTD1,S,C,122.4098246,172.9163746,147.6630996,-0.493357093,0.191527337,-2.575909539,0.00999768,0.127793956
LOC116946068,S,C,162.1940944,219.2877807,190.7409376,-0.434187128,0.168665779,-2.574245524,0.010045896,0.128077623
LOC116941627,S,C,174.8308286,239.0484791,206.9396539,-0.451096407,0.175240233,-2.574160048,0.010048378,0.128077623
MGST1,S,C,13.07441734,3.868806534,8.471611937,1.74544527,0.678115322,2.573965243,0.010054037,1
LOC116938319,S,C,4.005656658,13.36310426,8.68438046,-1.720567607,0.668609373,-2.57335251,0.010071856,1
SEC22B,S,C,476.0698533,360.0251945,418.0475239,0.401488315,0.15612837,2.57152697,0.010125113,0.128872896
LOC116937375,S,C,3.018378133,11.38798575,7.203181942,-1.902171244,0.739877573,-2.570927019,0.01014267,1
ERICH2,S,C,1213.860217,975.5282007,1094.694209,0.314644356,0.12240682,2.570480609,0.010155751,0.129080029
GDAP2,S,C,158.9887186,214.2706328,186.6296757,-0.430617374,0.167589671,-2.569474428,0.010185291,0.129272632
LOC116953515,S,C,70.68900323,113.1159742,91.90248873,-0.67292745,0.261967206,-2.568746906,0.010206697,0.129293365
LOC116939955,S,C,507.4201132,634.6752062,571.0476597,-0.322241569,0.125461917,-2.568441308,0.010215701,0.129293365
CENPM,S,C,900.1048678,671.0912611,785.5980645,0.422477645,0.164595555,2.566762176,0.010265299,0.129738365
LOC116938941,S,C,638.7191316,794.4257654,716.5724485,-0.315338004,0.122916761,-2.565459763,0.010303917,0.129900241
NUB1,S,C,129.264315,178.4806303,153.8724726,-0.462291665,0.18022482,-2.565083237,0.010315106,0.129900241
LOC116950792,S,C,222.2396318,153.6206009,187.9301163,0.529301488,0.206383874,2.564645576,0.010328124,0.129900241
LOC116939158,S,C,100.4686932,140.9006696,120.6846814,-0.487097312,0.189947149,-2.564383384,0.010335931,0.129900241
LOC116940859,S,C,22.40615037,40.79757895,31.60186466,-0.864892495,0.337347549,-2.563802518,0.010353243,0.129936096
SLC25A3,S,C,5628.966898,4522.261662,5075.61428,0.315747274,0.12325376,2.561765866,0.01041415,0.130518202
LOC116940717,S,C,7072.144108,5353.439766,6212.791937,0.401609478,0.156855317,2.560381669,0.010455726,0.130856765
LOC116937305,S,C,744.862375,597.8605384,671.3614567,0.316361127,0.123688365,2.557727461,0.010535863,0.131676306
MFSD1,S,C,432.5536445,560.1940333,496.3738389,-0.371478572,0.145311551,-2.55642837,0.010575284,0.131945486
LOC116949550,S,C,70.08928778,104.0179498,87.0536188,-0.56689562,0.221785745,-2.556050748,0.010586768,0.131945486
LOC116950564,S,C,2445.303748,3029.535507,2737.419627,-0.308993469,0.121046882,-2.552675974,0.010689889,0.132947318
LOC116945964,S,C,2179.902328,2645.801361,2412.851845,-0.279165717,0.109428683,-2.551120137,0.010737731,0.132947318
ZDHHC4,S,C,255.2366989,185.9819741,220.6093365,0.455353956,0.178511954,2.550831733,0.01074662,0.132947318
LOC116946865,S,C,4034.047934,3267.64692,3650.847427,0.303936861,0.119159371,2.550675282,0.010751445,0.132947318
ANAPC7,S,C,89.62577438,128.0904889,108.8581316,-0.512949337,0.201110272,-2.550587461,0.010754154,0.132947318
EIF5,S,C,5739.313381,4532.508945,5135.911163,0.340384628,0.133469593,2.550278453,0.010763691,0.132947318
STIP1,S,C,6074.478832,5066.448154,5570.463493,0.261715541,0.102631492,2.550051028,0.010770715,0.132947318
LOC116938908,S,C,185.804144,248.7494398,217.2767919,-0.422932277,0.165958,-2.548429581,0.010820913,0.133383711
HELZ,S,C,34.20917842,58.59964937,46.40441389,-0.778807527,0.305670576,-2.54786554,0.010838424,0.133416541
KIFBP,S,C,187.8506822,254.9725995,221.4116409,-0.440258126,0.172836885,-2.547246366,0.010857675,0.13347068
PIWIL1,S,C,4683.851536,5631.541251,5157.696394,-0.265805568,0.104378528,-2.546554109,0.010879234,0.133495656
LOC116944425,S,C,166.544729,224.4825707,195.5136498,-0.427879281,0.168044402,-2.546227525,0.010889419,0.133495656
WDR91,S,C,91.90292651,130.9002535,111.40159,-0.508883971,0.19994866,-2.545073177,0.010925484,0.133755312
LOC116942681,S,C,53.26012433,81.39581585,67.32797009,-0.611137747,0.240189458,-2.544398706,0.010946606,0.133831562
LOC116942359,S,C,180.0103945,247.4182399,213.7143172,-0.458152205,0.180268486,-2.541499147,0.011037822,0.134573373
LOC116938915,S,C,21.05613232,41.25489031,31.15551132,-0.966495241,0.380378297,-2.54087904,0.011057417,0.134573373
LOC116937225,S,C,95.61969762,140.9542336,118.2869656,-0.560168133,0.220467493,-2.54081963,0.011059296,0.134573373
LOC116957511,S,C,158.3843702,110.3438382,134.3641042,0.519272252,0.204392004,2.540570281,0.011067185,0.134573373
LOC103091773,S,C,1199.274139,1453.624706,1326.449423,-0.277652928,0.109340602,-2.539339667,0.011106194,0.134715563
LOC116944902,S,C,278.2193303,367.4393805,322.8293554,-0.402234701,0.15840654,-2.539255641,0.011108862,0.134715563
LOC116943806,S,C,27.98313729,50.74131904,39.36222817,-0.857674214,0.337859823,-2.538550471,0.011131275,0.134805436
LNPK,S,C,26.69326369,47.85518728,37.27422549,-0.837069571,0.329820741,-2.537953098,0.011150293,0.134854011
LOC116958759,S,C,11.01129039,25.33788638,18.17458838,-1.210304028,0.477023976,-2.537197474,0.01117439,1
LOC116938614,S,C,14.0308414,30.37227044,22.20155592,-1.100216533,0.43368671,-2.536892432,0.011184131,1
POLR1E,S,C,2044.456621,1640.277192,1842.366907,0.317561179,0.125198267,2.536466262,0.011197753,0.135245981
LOC116943128,S,C,10.90063428,2.907079274,6.903856778,1.901430821,0.749674965,2.536340295,0.011201782,1
LOC116941299,S,C,4574.711157,5772.842659,5173.776908,-0.335388814,0.132287345,-2.535305345,0.011234935,0.135466157
LUC7L,S,C,683.8465621,850.9958196,767.4211909,-0.315151682,0.124334866,-2.534700783,0.011254341,0.135466157
LOC116951378,S,C,178.6590371,238.1112646,208.3851509,-0.412788073,0.162868487,-2.534487064,0.011261208,0.135466157
LOC116956169,S,C,7.557574874,20.18353759,13.87055623,-1.391043717,0.549357528,-2.532128251,0.011337252,1
LOC116952922,S,C,268.6419117,344.7585243,306.700218,-0.360225536,0.142270688,-2.531972968,0.011342273,0.13622926
LOC116954815,S,C,5913.922652,4812.533826,5363.228239,0.29724189,0.11741355,2.531580807,0.011354965,0.13622926
LOC116952262,S,C,394.8392097,501.3802096,448.1097097,-0.344905298,0.136291302,-2.530647915,0.011385207,0.136409959
LOC116947409,S,C,212.7703212,158.1273197,185.4488204,0.426416169,0.168555353,2.529828701,0.011411823,0.136442606
LOC116938641,S,C,1373.717609,1104.317378,1239.017493,0.314369191,0.124274791,2.529629603,0.0114183,0.136442606
LOC116939438,S,C,183.8125838,129.0179415,156.4152627,0.507283621,0.200726677,2.527235687,0.011496432,0.13684416
LOC116953327,S,C,20.42430629,38.33112305,29.37771467,-0.909073994,0.359739407,-2.527034781,0.011503011,0.13684416
LOC116958118,S,C,6941.63824,5808.534858,6375.086549,0.257050083,0.101725192,2.526906836,0.011507202,0.13684416
MIOS,S,C,316.3019565,234.018566,275.1602613,0.432593036,0.171243012,2.526193801,0.011530585,0.13684416
LOC116947025,S,C,32.59124675,54.70819281,43.64971978,-0.745052849,0.294989019,-2.525696897,0.011546906,0.13684416
ARRDC3,S,C,360.6067722,277.7410084,319.1738903,0.375472548,0.148677525,2.525415651,0.011556152,0.13684416
LOC116939477,S,C,624.3126224,505.1029451,564.7077837,0.305591997,0.121010041,2.525344136,0.011558504,0.13684416
DYNLT1,S,C,1853.927408,1368.097321,1611.012364,0.437770511,0.173433884,2.524134854,0.011598343,0.137135141
LOC116954937,S,C,239.51393,317.1737633,278.3438467,-0.403790316,0.16009626,-2.522172066,0.011663264,0.13772154
C31H14orf119,S,C,50.5170887,80.15783127,65.33745999,-0.66129173,0.262324224,-2.520894642,0.011705689,0.137989792
PPP1R10,S,C,95.36783929,63.77103679,79.56943804,0.579495182,0.229906953,2.520563971,0.011716694,0.137989792
CIP2A,S,C,465.9175656,358.179554,412.0485598,0.378166454,0.150090879,2.519583178,0.011749388,0.138193714
TTC37,S,C,397.6179578,286.9776945,342.2978262,0.468779617,0.186217004,2.517383518,0.011823006,0.138711609
EEF1G,S,C,23805.45421,19440.76139,21623.1078,0.292178668,0.116066192,2.517345174,0.011824292,0.138711609
LOC116952195,S,C,50.6881976,80.56327419,65.6257359,-0.667273394,0.265140112,-2.516682174,0.011846564,0.138791686
CTSD,S,C,889.8583123,692.0082654,790.9332888,0.361547662,0.143817694,2.513930316,0.011939402,0.139697225
LOC116945073,S,C,143.3037828,96.36843056,119.8361067,0.570173631,0.22687855,2.513122683,0.011966771,0.13979374
DKC1,S,C,293.386698,220.8920304,257.1393642,0.407017802,0.161979775,2.512769279,0.011978765,0.13979374
CLASP1,S,C,959.9825275,784.3078973,872.1452124,0.291317786,0.115972728,2.511950789,0.012006583,0.139936647
PIGU,S,C,213.9456889,143.6268993,178.7862941,0.570906947,0.227363781,2.510984574,0.012039496,0.14003356
LOC116945028,S,C,318.0479957,423.0175023,370.532749,-0.40920502,0.163052985,-2.509644454,0.012085277,0.14003356
LOC116945629,S,C,517.1332119,412.4778911,464.8055515,0.326933,0.130294063,2.509193378,0.012100722,0.14003356
LOC116947150,S,C,58.09588524,87.7002086,72.89804692,-0.597000732,0.237953282,-2.508898915,0.012110814,0.14003356
